Date,Close,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,Final_Signal
2025-01-02,21.974592208862305,,21.974592208862305,,0.0,0.0,,,0
2025-01-03,21.984304428100586,,21.97551718212309,,0.0007747639278399276,0.00015495278556798553,,,1
2025-01-06,22.100881576538086,,21.987456648257854,,0.010672545069422057,0.0022584712423388,,,0
2025-01-07,21.96487808227539,,21.985306308640475,,0.00745631086515175,0.00329803916690139,,,-1
2025-01-08,22.130027770996094,,21.999089305055293,,0.01802583119148693,0.006243597571818498,,,1
2025-01-10,22.052310943603516,,22.004158032536075,,0.019901738878054687,0.008975225833065738,,,0
2025-01-13,22.04259490966797,,22.007818687501015,,0.020369598445288517,0.011254100355510294,,,0
2025-01-14,21.86773109436035,,21.99447701196381,,0.006554772686300225,0.01031423482166828,,,-1
2025-01-15,22.236888885498047,,22.017563857062306,,0.02510497775008602,0.013272383407351828,,,1
2025-01-16,20.954551696777344,,21.91632460370183,,-0.06294218692979925,-0.0019705306600783876,,,-1
2025-01-17,20.58539390563965,,21.78956929912448,,-0.16065620314377327,-0.03370766515681737,,,0
2025-01-21,20.54653549194336,,21.671185127011995,,-0.23848174510891695,-0.0746624811472373,,,0
2025-01-22,20.993410110473633,,21.606635125436913,,-0.2610903141719625,-0.11194804775218234,,,0
2025-01-23,21.158559799194336,,21.563961284842385,,-0.2626538581932465,-0.1420892098403952,,,0
2025-01-24,21.061412811279297,,21.516099525455424,36.79774366882142,-0.26863526797871984,-0.16739842146806014,,,0
2025-01-27,20.92540740966797,,21.45984313347567,35.23038719862426,-0.28110962086820024,-0.19014066134808816,,,0
2025-01-28,20.915693283081055,,21.408019338199992,32.96091468885531,-0.2884543619097073,-0.209803401460412,,,0
2025-01-29,21.080842971801758,,21.3768596842573,37.396127759252984,-0.27774722531311014,-0.22339216623095162,,,0
2025-01-30,21.197418212890625,,21.35977002031762,36.5168402997998,-0.25689378310284283,-0.23009248960532988,,,0
2025-01-31,21.32370948791504,21.45485725402832,21.356335683898326,39.612177669052265,-0.22755353398341427,-0.22958469848094676,22.572838322337144,20.336876185719493,0
2025-02-03,21.362565994262695,21.42425594329834,21.35692904679017,40.384583228827026,-0.19887329232668804,-0.22344241725009503,22.516874156076224,20.33163773052046,1
2025-02-04,21.741437911987305,21.412112617492674,21.393548938713707,48.31165466716032,-0.14391325437456715,-0.20753658467498948,22.48477973110895,20.339445503876398,0
2025-02-05,21.67343521118164,21.390740299224852,21.420204774186843,41.80786479588158,-0.10463807536666181,-0.18695688281332395,22.423970668739255,20.35750992971045,0
2025-02-06,21.60543441772461,21.372768115997314,21.43784569261901,64.62884529647792,-0.07809903174317867,-0.16518531259929492,22.377539171076755,20.367997060917872,0
2025-02-07,21.20713233947754,21.326623344421385,21.415872992319823,63.793118039335155,-0.08818970145112104,-0.14978619036966015,22.270999391568477,20.382247297274294,-1
2025-02-10,21.245990753173828,21.286307334899902,21.399693731448775,65.51724721573407,-0.09199066948639967,-0.13822708619300805,22.170230646371625,20.40238402342818,0
2025-02-11,21.343135833740234,21.251334381103515,21.394307265000343,59.1836366714382,-0.08617084406160203,-0.12781583776672686,22.065385796605344,20.437282965601685,1
2025-02-12,21.12941551208496,21.214418601989745,21.369079479008402,49.25372113786037,-0.09767806240428811,-0.12178828269423912,21.978756530259705,20.450080673719786,-1
2025-02-13,21.119699478149414,21.158559131622315,21.345329002736115,51.5624696417962,-0.1063556172328255,-0.1187017496019564,21.762244971464366,20.554873291780265,0
